uid,topic,level,objective
1,Commander dans un café,A1,
2,Commander dans un café,A1,
3,Commander dans un café,A1,
4,Commander dans un café,A1,
5,Saluer et se présenter,A1,
6,Décrire une journée ordinaire,A1,
7,Saluer et dire au revoir,A1,
8,Demander et dire l'heure,A1,
9,Demander et dire l'heure,A1,
10,Décrire sa famille,A1,
11,Décrire sa famille,A1,
12,Décrire la météo,A1,
13,Décrire la météo,A1,
14,Décrire la météo,A1,
15,Décrire la météo,A1,
16,Décrire la météo,A1,
17,Décrire la météo,A1,
18,Décrire une ville,A1,
19,Décrire une ville,A1,
20,Décrire une ville,A1,
21,Faire des plans avec des amis,A1,
22,Commander dans un restaurant,A1,
23,Commander dans un restaurant,A1,
24,Commander dans un restaurant,A1,
25,Décrire sa maison,A1,
26,Décrire sa maison,A1,
27,Décrire sa maison,A1,
28,Parler de projets,A1,
29,Donner des descriptions,A1,
30,Bavarder à l'école,A1,
31,Bavarder à l'école,A1,
32,Faire des comparaisons,A1,
33,Faire des comparaisons,A1,
34,Parler de l'avenir,A1,
35,Parler de l'avenir,A1,
36,Bavarder avec les autres,A1,
37,Parler de sujets de santé,A1,
38,Parler de sujets de santé,A1,
39,Parler de temps libre,A1,
40,Parler de temps libre,A1,
41,Mentionner ce qu'on a pour le petit-déjeuner,A1,
42,Décrire des meubles,A1,
43,Décrire des meubles,A1,
44,Parler d'accidents,A1,
45,Donner des conseils,A1,
46,Donner des conseils,A1,
47,Donner des conseils,A1,
48,Acheter des vêtements,A1,
49,Parler de sa santé,A1,
50,Parler de sa santé,A1,
51,Participer en classe,A1,
52,Participer en classe,A1,
53,Parler de lieux,A1,
54,Parler de lieux,A1,
55,Interagir socialement,A1,
56,Décrire des maladies,A1,
57,Chercher un logement,A1,
58,Parler des tâches scolaires,A1,
59,Parler des tâches scolaires,A1,
60,Analyser des professions,A1,
61,Décrire un mariage,A1,
62,Parler de souvenirs,A1,
63,Décrire un voyage,A1,
64,Parler d'animaux,A1,
65,Parler d'animaux,A1,
66,Parler de la romance,A1,
67,Parler de la romance,A1,
68,Assister à un entretien,A1,
69,Assister à un entretien,A1,
70,Assister à un entretien,A1,
71,Raconter un rêve,A1,
72,Raconter un rêve,A1,
73,Raconter un voyage,A1,
74,Raconter une aventure,A1,
75,Raconter une aventure,A1,
76,Confier des secrets,A1,
77,Décrire un déménagement,A1,
78,Exprimer la surprise,A1,
